city,district,province
Kohilagedara,Kurunegala,"North Western"
Konwewa,Kurunegala,"North Western"
Kosdeniya,Kurunegala,"North Western"
Kosgolla,Kurunegala,"North Western"
Kotagala,Kurunegala,"North Western"
"Colombo 13 (Kotahena)",Colombo,Western
Kotawehera,Kurunegala,"North Western"
Kudagalgamuwa,Kurunegala,"North Western"
Kudakatnoruwa,Kurunegala,"North Western"
Kuliyapitiya,Kurunegala,"North Western"
Kumaragama,Kurunegala,"North Western"
Kumbukgeta,Kurunegala,"North Western"
Kumbukwewa,Kurunegala,"North Western"
Kuratihena,Kurunegala,"North Western"
Kurunegala,Kurunegala,"North Western"
Ibbagamuwa,Kurunegala,"North Western"
"Ihala Kadigamuwa",Kurunegala,"North Western"
Lihiriyagama,Kurunegala,"North Western"
Illagolla,Kurunegala,"North Western"
Ilukhena,Kurunegala,"North Western"
Lonahettiya,Kurunegala,"North Western"
Madahapola,Kurunegala,"North Western"
Madakumburumulla,Kurunegala,"North Western"
Madalagama,Kurunegala,"North Western"
"Madawala Ulpotha",Kurunegala,"North Western"
Maduragoda,Kurunegala,"North Western"
Maeliya,Kurunegala,"North Western"
Magulagama,Kurunegala,"North Western"
"Maha Ambagaswewa",Kurunegala,"North Western"
Mahagalkadawala,Kurunegala,"North Western"
Mahagirilla,Kurunegala,"North Western"
Mahamukalanyaya,Kurunegala,"North Western"
Mahananneriya,Kurunegala,"North Western"
Mahapallegama,Kurunegala,"North Western"
Maharachchimulla,Kurunegala,"North Western"
Mahatalakolawewa,Kurunegala,"North Western"
Mahawewa,Kurunegala,"North Western"
Maho,Kurunegala,"North Western"
Makulewa,Kurunegala,"North Western"
Makulpotha,Kurunegala,"North Western"
Makulwewa,Kurunegala,"North Western"
Malagane,Kurunegala,"North Western"
Mandapola,Kurunegala,"North Western"
Maspotha,Kurunegala,"North Western"
Mawathagama,Kurunegala,"North Western"
Medirigiriya,Kurunegala,"North Western"
Medivawa,Kurunegala,"North Western"
Meegalawa,Kurunegala,"North Western"
Meegaswewa,Kurunegala,"North Western"
Meewellawa,Kurunegala,"North Western"
Melsiripura,Kurunegala,"North Western"
Metikumbura,Kurunegala,"North Western"
Metiyagane,Kurunegala,"North Western"
Minhettiya,Kurunegala,"North Western"
Minuwangete,Kurunegala,"North Western"
Mirihanagama,Kurunegala,"North Western"
Monnekulama,Kurunegala,"North Western"
Moragane,Kurunegala,"North Western"
Moragollagama,Kurunegala,"North Western"
Morathiha,Kurunegala,"North Western"
Munamaldeniya,Kurunegala,"North Western"
Muruthenge,Kurunegala,"North Western"
Mutugala,Kurunegala,"North Western"
Nabadewa,Kurunegala,"North Western"
Nagollagama,Kurunegala,"North Western"
Nagollagoda,Kurunegala,"North Western"
Nakkawatta,Kurunegala,"North Western"
Narammala,Kurunegala,"North Western"
Nawasenapura,Kurunegala,"North Western"
Nawatalwatta,Kurunegala,"North Western"
Nelliya,Kurunegala,"North Western"
Nikaweratiya,Kurunegala,"North Western"
Nugagolla,Kurunegala,"North Western"
Nugawela,Kurunegala,"North Western"
Padeniya,Kurunegala,"North Western"
Padiwela,Kurunegala,"North Western"
Pahalagiribawa,Kurunegala,"North Western"
Pahamune,Kurunegala,"North Western"
Palagala,Kurunegala,"North Western"
Palapathwela,Kurunegala,"North Western"
Palaviya,Kurunegala,"North Western"
Pallewela,Kurunegala,"North Western"
Palukadawala,Kurunegala,"North Western"
Panadaragama,Kurunegala,"North Western"
Panagamuwa,Kurunegala,"North Western"
Panaliya,Kurunegala,"North Western"
Panapitiya,Kurunegala,"North Western"
Panliyadda,Kurunegala,"North Western"
Pansiyagama,Kurunegala,"North Western"
Parape,Kurunegala,"North Western"
Pathanewatta,Kurunegala,"North Western"
"Pattiya Watta",Kurunegala,"North Western"
Perakanatta,Kurunegala,"North Western"
Periyakadneluwa,Kurunegala,"North Western"
"Pihimbiya Ratmale",Kurunegala,"North Western"
Pihimbuwa,Kurunegala,"North Western"
Pilessa,Kurunegala,"North Western"
Polgahawela,Kurunegala,"North Western"
Polgolla,Kurunegala,"North Western"
Polpithigama,Kurunegala,"North Western"
Pothuhera,Kurunegala,"North Western"
Pothupitiya,Kurunegala,"North Western"
Pujapitiya,Kurunegala,"North Western"
Rakwana,Kurunegala,"North Western"
Ranorawa,Kurunegala,"North Western"
Rathukohodigala,Kurunegala,"North Western"
Ridibendiella,Kurunegala,"North Western"
Ridigama,Kurunegala,"North Western"
"Saliya Asokapura",Kurunegala,"North Western"
Sandalankawa,Kurunegala,"North Western"
Sevanapitiya,Kurunegala,"North Western"
Sirambiadiya,Kurunegala,"North Western"
Sirisetagama,Kurunegala,"North Western"
Siyambalangamuwa,Kurunegala,"North Western"
Siyambalawewa,Kurunegala,"North Western"
Solepura,Kurunegala,"North Western"
Solewewa,Kurunegala,"North Western"
Sunandapura,Kurunegala,"North Western"
Talawattegedara,Kurunegala,"North Western"
Tambutta,Kurunegala,"North Western"
Tennepanguwa,Kurunegala,"North Western"
Thalahitimulla,Kurunegala,"North Western"
Thalakolawewa,Kurunegala,"North Western"
Thalwita,Kurunegala,"North Western"
"Tharana Udawela",Kurunegala,"North Western"
Thimbiriyawa,Kurunegala,"North Western"
Tisogama,Kurunegala,"North Western"
Thorayaya,Kurunegala,"North Western"
Tulhiriya,Kurunegala,"North Western"
Tuntota,Kurunegala,"North Western"
Tuttiripitigama,Kurunegala,"North Western"
Udagaldeniya,Kurunegala,"North Western"
Udahingulwala,Kurunegala,"North Western"
Udawatta,Kurunegala,"North Western"
Udubaddawa,Kurunegala,"North Western"
Udumulla,Kurunegala,"North Western"
Uhumiya,Kurunegala,"North Western"
"Ulpotha Pallekele",Kurunegala,"North Western"
Ulpothagama,Kurunegala,"North Western"
"Usgala Siyabmalangamuwa",Kurunegala,"North Western"
Vijithapura,Kurunegala,"North Western"
Wadakada,Kurunegala,"North Western"
Wadumunnegedara,Kurunegala,"North Western"
Walakumburumulla,Kurunegala,"North Western"
Wannigama,Kurunegala,"North Western"
Wannikudawewa,Kurunegala,"North Western"
Wannilhalagama,Kurunegala,"North Western"
Wannirasnayakapura,Kurunegala,"North Western"
Warawewa,Kurunegala,"North Western"
Wariyapola,Kurunegala,"North Western"
Watareka,Kurunegala,"North Western"
Wattegama,Kurunegala,"North Western"
Watuwatta,Kurunegala,"North Western"
Weerapokuna,Kurunegala,"North Western"
"Welawa Juncton",Kurunegala,"North Western"
Welipennagahamulla,Kurunegala,"North Western"
Wellagala,Kurunegala,"North Western"
Wellarawa,Kurunegala,"North Western"
Wellawa,Kurunegala,"North Western"
Welpalla,Kurunegala,"North Western"
Wennoruwa,Kurunegala,"North Western"
Weuda,Kurunegala,"North Western"
Wewagama,Kurunegala,"North Western"
Wilgamuwa,Kurunegala,"North Western"
Yakwila,Kurunegala,"North Western"
Yatigaloluwa,Kurunegala,"North Western"
Mannar,Mannar,Northern
Puthukudiyiruppu,Mannar,Northern
Akuramboda,Matale,Central
Alawatuwala,Matale,Central
Alwatta,Matale,Central
Ambana,Matale,Central
Aralaganwila,Matale,Central
Ataragallewa,Matale,Central
Bambaragaswewa,Matale,Central
"Barawardhana Oya",Matale,Central
Beligamuwa,Matale,Central
Damana,Matale,Central
Dambulla,Matale,Central
Damminna,Matale,Central
Dankanda,Matale,Central
Delwite,Matale,Central
Devagiriya,Matale,Central
Dewahuwa,Matale,Central
Divuldamana,Matale,Central
Dullewa,Matale,Central
Dunkolawatta,Matale,Central
Elkaduwa,Matale,Central
"Erawula Junction",Matale,Central
Etanawala,Matale,Central
Galewela,Matale,Central
"Galoya Junction",Matale,Central
Gammaduwa,Matale,Central
"Gangala Puwakpitiya",Matale,Central
Hasalaka,Matale,Central
"Hattota Amuna",Matale,Central
Imbulgolla,Matale,Central
Inamaluwa,Matale,Central
Iriyagolla,Matale,Central
Kaikawala,Matale,Central
Kalundawa,Matale,Central
Kandalama,Matale,Central
Kavudupelella,Matale,Central
Kibissa,Matale,Central
Kiwula,Matale,Central
Kongahawela,Matale,Central
"Laggala Pallegama",Matale,Central
Leliambe,Matale,Central
Lenadora,Matale,Central
"Ihala Halmillewa",Matale,Central
Illukkumbura,Matale,Central
Madipola,Matale,Central
Mahawela,Matale,Central
Mananwatta,Matale,Central
Maraka,Matale,Central
Matale,Matale,Central
Melipitiya,Matale,Central
Metihakka,Matale,Central
Millawana,Matale,Central
Muwandeniya,Matale,Central
Nalanda,Matale,Central
Naula,Matale,Central
Opalgala,Matale,Central
Pallepola,Matale,Central
Pimburattewa,Matale,Central
Pulastigama,Matale,Central
Ranamuregama,Matale,Central
Rattota,Matale,Central
Selagama,Matale,Central
Sigiriya,Matale,Central
Sinhagama,Matale,Central
Sungavila,Matale,Central
"Talagoda Junction",Matale,Central
Talakiriyagama,Matale,Central
Tamankaduwa,Matale,Central
Udasgiriya,Matale,Central
Udatenna,Matale,Central
Ukuwela,Matale,Central
Wahacotte,Matale,Central
Walawela,Matale,Central
Wehigala,Matale,Central
Welangahawatte,Matale,Central
Wewalawewa,Matale,Central
Yatawatta,Matale,Central
Akuressa,Matara,Southern
Alapaladeniya,Matara,Southern
Aparekka,Matara,Southern
Athuraliya,Matara,Southern
Bengamuwa,Matara,Southern
Bopagoda,Matara,Southern
Dampahala,Matara,Southern
"Deegala Lenama",Matara,Southern
Deiyandara,Matara,Southern
Denagama,Matara,Southern
Denipitiya,Matara,Southern
Deniyaya,Matara,Southern
Derangala,Matara,Southern
"Devinuwara (Dondra)",Matara,Southern
Dikwella,Matara,Southern
Diyagaha,Matara,Southern
Diyalape,Matara,Southern
Gandara,Matara,Southern
Godapitiya,Matara,Southern
Gomilamawarala,Matara,Southern
Hawpe,Matara,Southern
Horapawita,Matara,Southern
Kalubowitiyana,Matara,Southern
Kamburugamuwa,Matara,Southern
Kamburupitiya,Matara,Southern
"Karagoda Uyangoda",Matara,Southern
Karaputugala,Matara,Southern
Karatota,Matara,Southern
Kekanadura,Matara,Southern
Kiriweldola,Matara,Southern
Kiriwelkele,Matara,Southern
Kolawenigama,Matara,Southern
Kotapola,Matara,Southern
Lankagama,Matara,Southern
Makandura,Matara,Southern
Maliduwa,Matara,Southern
Maramba,Matara,Southern
Matara,Matara,Southern
Mediripitiya,Matara,Southern
Miella,Matara,Southern
Mirissa,Matara,Southern
Morawaka,Matara,Southern
"Mulatiyana Junction",Matara,Southern
Nadugala,Matara,Southern
Naimana,Matara,Southern
Palatuwa,Matara,Southern
Parapamulla,Matara,Southern
Pasgoda,Matara,Southern
Penetiyana,Matara,Southern
Pitabeddara,Matara,Southern
Puhulwella,Matara,Southern
Radawela,Matara,Southern
Ransegoda,Matara,Southern
Rotumba,Matara,Southern
Sultanagoda,Matara,Southern
Telijjawila,Matara,Southern
Thihagoda,Matara,Southern
Urubokka,Matara,Southern
Urugamuwa,Matara,Southern
Urumutta,Matara,Southern
Viharahena,Matara,Southern
Walakanda,Matara,Southern
Walasgala,Matara,Southern
Waralla,Matara,Southern
Weligama,Matara,Southern
Wilpita,Matara,Southern
Yatiyana,Matara,Southern
Ayiwela,Monaragala,Uva
Badalkumbura,Monaragala,Uva
Baduluwela,Monaragala,Uva
Bakinigahawela,Monaragala,Uva
Balaharuwa,Monaragala,Uva
Bibile,Monaragala,Uva
Buddama,Monaragala,Uva
Buttala,Monaragala,Uva
Dambagalla,Monaragala,Uva
Diyakobala,Monaragala,Uva
Dombagahawela,Monaragala,Uva
Ethimalewewa,Monaragala,Uva
Ettiliwewa,Monaragala,Uva
Galabedda,Monaragala,Uva
Gamewela,Monaragala,Uva
Hambegamuwa,Monaragala,Uva
Hingurukaduwa,Monaragala,Uva
Hulandawa,Monaragala,Uva
Inginiyagala,Monaragala,Uva
Kandaudapanguwa,Monaragala,Uva
Kandawinna,Monaragala,Uva
Kataragama,Monaragala,Uva
Kotagama,Monaragala,Uva
Kotamuduna,Monaragala,Uva
"Kotawehera Mankada",Monaragala,Uva
Kudawewa,Monaragala,Uva
Kumbukkana,Monaragala,Uva
Marawa,Monaragala,Uva
Mariarawa,Monaragala,Uva
Medagana,Monaragala,Uva
Medawelagama,Monaragala,Uva
Miyanakandura,Monaragala,Uva
Monaragala,Monaragala,Uva
Moretuwegama,Monaragala,Uva
Nakkala,Monaragala,Uva
Namunukula,Monaragala,Uva
Nannapurawa,Monaragala,Uva
Nelliyadda,Monaragala,Uva
Nilgala,Monaragala,Uva
Obbegoda,Monaragala,Uva
Okkampitiya,Monaragala,Uva
Pangura,Monaragala,Uva
Pitakumbura,Monaragala,Uva
Randeniya,Monaragala,Uva
Ruwalwela,Monaragala,Uva
"Sella Kataragama",Monaragala,Uva
Siyambalagune,Monaragala,Uva
Siyambalanduwa,Monaragala,Uva
Suriara,Monaragala,Uva
Thanamalwila,Monaragala,Uva
"Uva Gangodagama",Monaragala,Uva
"Uva Kudaoya",Monaragala,Uva
"Uva Pelwatta",Monaragala,Uva
Warunagama,Monaragala,Uva
Wedikumbura,Monaragala,Uva
"Weherayaya Handapanagala",Monaragala,Uva
Wellawaya,Monaragala,Uva
Wilaoya,Monaragala,Uva
Yudaganawa,Monaragala,Uva
Mullativu,Mullaitivu,Northern
Agarapathana,"Nuwara Eliya",Central
Ambatalawa,"Nuwara Eliya",Central
Ambewela,"Nuwara Eliya",Central
Bogawantalawa,"Nuwara Eliya",Central
Bopattalawa,"Nuwara Eliya",Central
Dagampitiya,"Nuwara Eliya",Central
"Dayagama Bazaar","Nuwara Eliya",Central
Dikoya,"Nuwara Eliya",Central
Doragala,"Nuwara Eliya",Central
Dunukedeniya,"Nuwara Eliya",Central
Egodawela,"Nuwara Eliya",Central
Ekiriya,"Nuwara Eliya",Central
Elamulla,"Nuwara Eliya",Central
Ginigathena,"Nuwara Eliya",Central
Gonakele,"Nuwara Eliya",Central
Haggala,"Nuwara Eliya",Central
Halgranoya,"Nuwara Eliya",Central
Hangarapitiya,"Nuwara Eliya",Central
Hapugasthalawa,"Nuwara Eliya",Central
Harasbedda,"Nuwara Eliya",Central
Hatton,"Nuwara Eliya",Central
Hewaheta,"Nuwara Eliya",Central
Hitigegama,"Nuwara Eliya",Central
Jangulla,"Nuwara Eliya",Central
Kalaganwatta,"Nuwara Eliya",Central
Kandapola,"Nuwara Eliya",Central
Karandagolla,"Nuwara Eliya",Central
"Keerthi Bandarapura","Nuwara Eliya",Central
Kiribathkumbura,"Nuwara Eliya",Central
Kotiyagala,"Nuwara Eliya",Central
Kotmale,"Nuwara Eliya",Central
Kottellena,"Nuwara Eliya",Central
Kumbalgamuwa,"Nuwara Eliya",Central
Kumbukwela,"Nuwara Eliya",Central
Kurupanawela,"Nuwara Eliya",Central
Labukele,"Nuwara Eliya",Central
Laxapana,"Nuwara Eliya",Central
Lindula,"Nuwara Eliya",Central
Madulla,"Nuwara Eliya",Central
"Mandaram Nuwara","Nuwara Eliya",Central
Maskeliya,"Nuwara Eliya",Central
Maswela,"Nuwara Eliya",Central
Maturata,"Nuwara Eliya",Central
Mipanawa,"Nuwara Eliya",Central
Mipilimana,"Nuwara Eliya",Central
Morahenagama,"Nuwara Eliya",Central
Munwatta,"Nuwara Eliya",Central
"Nayapana Janapadaya","Nuwara Eliya",Central
Nildandahinna,"Nuwara Eliya",Central
"Nissanka Uyana","Nuwara Eliya",Central
Norwood,"Nuwara Eliya",Central
"Nuwara Eliya","Nuwara Eliya",Central
Padiyapelella,"Nuwara Eliya",Central
Pallebowala,"Nuwara Eliya",Central
Panvila,"Nuwara Eliya",Central
Pitawala,"Nuwara Eliya",Central
Pundaluoya,"Nuwara Eliya",Central
Ramboda,"Nuwara Eliya",Central
Rikillagaskada,"Nuwara Eliya",Central
Rozella,"Nuwara Eliya",Central
Rupaha,"Nuwara Eliya",Central
Ruwaneliya,"Nuwara Eliya",Central
Santhipura,"Nuwara Eliya",Central
Talawakele,"Nuwara Eliya",Central
Tawalantenna,"Nuwara Eliya",Central
Teripeha,"Nuwara Eliya",Central
Udamadura,"Nuwara Eliya",Central
Udapussallawa,"Nuwara Eliya",Central
"Uva Deegalla","Nuwara Eliya",Central
"Uva Uduwara","Nuwara Eliya",Central
Uvaparanagama,"Nuwara Eliya",Central
Walapane,"Nuwara Eliya",Central
Watawala,"Nuwara Eliya",Central
Widulipura,"Nuwara Eliya",Central
Wijebahukanda,"Nuwara Eliya",Central
Attanakadawala,Polonnaruwa,"North Central"
Bakamuna,Polonnaruwa,"North Central"
Diyabeduma,Polonnaruwa,"North Central"
Elahera,Polonnaruwa,"North Central"
Giritale,Polonnaruwa,"North Central"
Hingurakdamana,Polonnaruwa,"North Central"
Hingurakgoda,Polonnaruwa,"North Central"
Jayanthipura,Polonnaruwa,"North Central"
Kalingaela,Polonnaruwa,"North Central"
Lakshauyana,Polonnaruwa,"North Central"
Mankemi,Polonnaruwa,"North Central"
Minneriya,Polonnaruwa,"North Central"
Onegama,Polonnaruwa,"North Central"
"Orubendi Siyambalawa",Polonnaruwa,"North Central"
Palugasdamana,Polonnaruwa,"North Central"
Panichankemi,Polonnaruwa,"North Central"
Polonnaruwa,Polonnaruwa,"North Central"
Talpotha,Polonnaruwa,"North Central"
Tambala,Polonnaruwa,"North Central"
Unagalavehera,Polonnaruwa,"North Central"
Wijayabapura,Polonnaruwa,"North Central"
Adippala,Puttalam,"North Western"
Alutgama,Puttalam,"North Western"
Alutwewa,Puttalam,"North Western"
Ambakandawila,Puttalam,"North Western"
Anamaduwa,Puttalam,"North Western"
Andigama,Puttalam,"North Western"
Angunawila,Puttalam,"North Western"
Attawilluwa,Puttalam,"North Western"
Bangadeniya,Puttalam,"North Western"
Baranankattuwa,Puttalam,"North Western"
Battuluoya,Puttalam,"North Western"
Bujjampola,Puttalam,"North Western"
Chilaw,Puttalam,"North Western"
Dalukana,Puttalam,"North Western"
Dankotuwa,Puttalam,"North Western"
Dewagala,Puttalam,"North Western"
Dummalasuriya,Puttalam,"North Western"
Dunkannawa,Puttalam,"North Western"
Eluwankulama,Puttalam,"North Western"
Ettale,Puttalam,"North Western"
Galamuna,Puttalam,"North Western"
Galmuruwa,Puttalam,"North Western"
Hansayapalama,Puttalam,"North Western"
"Ihala Kottaramulla",Puttalam,"North Western"
Ilippadeniya,Puttalam,"North Western"
Inginimitiya,Puttalam,"North Western"
Ismailpuram,Puttalam,"North Western"
Jayasiripura,Puttalam,"North Western"
Kakkapalliya,Puttalam,"North Western"
Kalkudah,Puttalam,"North Western"
Kalladiya,Puttalam,"North Western"
Kandakuliya,Puttalam,"North Western"
Karathivu,Puttalam,"North Western"
Karawitagara,Puttalam,"North Western"
Karuwalagaswewa,Puttalam,"North Western"
Katuneriya,Puttalam,"North Western"
Koswatta,Puttalam,"North Western"
Kottantivu,Puttalam,"North Western"
Kottapitiya,Puttalam,"North Western"
Kottukachchiya,Puttalam,"North Western"
Kumarakattuwa,Puttalam,"North Western"
Kurinjanpitiya,Puttalam,"North Western"
